神明苑,Shinmeisono
神明駅,Shinmeieki
神明苑前,Shinmeianekimae
アルプラザ前,Arupurazamae
アイアイ鯖江,Aiaisabae
長泉寺,Tyousenji
リハビリテーション病院前,Rehabilitation byouinmae
本町4丁目,Honmachi yontyoume
本山前,Motoyamamae
JR鯖江駅,JR sabaeeki
本町１丁目,Honmachi icchoume
本町２丁目,Honmachi ni choume
市民ホールつつじ前,Shiminholetutujimae
西鯖江駅前,Nishisabaeekimae
サバエ・シティーホテル前,Sabae・cityhotelmae
西山公園,Nishiyamakouen
市役所前,Shiyakusyomae
鯖江郵便局,Sabaeyuubinkyoku
水落町１丁目,Mizuochichou icchoume
北野町１丁目,Kitanomachi icchoume
北野町２丁目,Kitanomachi nichoume
公立丹南病院前,Kouritutannanbyouinmae
神明公民館,Shinmeikouminkan
ふくしん神明支店前,Fukushinshinmeishitenmae
