長泉寺,
JR鯖江駅,JR sabaeeki
本町１丁目,Honmachi icchoume
本町２丁目,Honmachi ni choume
市民ホールつつじ前,Shiminholetutujimae
西鯖江駅前,Nishisabaeekimae
嚮陽会館,Kyouhikaikanmae
高年大学,Kounendaigaku
落井口,Ochiiguchi
松成,Matsunari
中野町松成,Nakanochoumatsunari
樋口,Higuchi
中河小学校前,Nakagawasyougakkoumae
リハビリテーション病院前,Rehabilitation byouinmae
新出,Niide
上河端,Kamikoubata
曲木,Mageki
落井,Ochii
磯部口,Isobeguchi
磯部,Isobe
中戸口,Nakatonokuchi
上戸口,Kamitonokuchi
上戸口北,Kamitonokuchikita
中戸口南,Nakatonokuchiminami
戸口,Tokuchi
別司口,Besshikuchi
別司,Besshi
河和田口,Kawawadaguchi
河和田,Kawawada
莇生田口,Azoudaguchi
河和田コミュニティセンター,kawawada community center
うるしの里会館,Urushinosatokaikan
西袋,Nishibukuro
椿坂,Tsubakizaka
河和田小学校前,Kawawadasyougakkoumae
金谷口,Kaneyaguchi
金谷,Kaneya
北中,Kitachuu
寺中,Jichuu
尾花,Obana
ラポーゼかわだ,Rapozekawada
天屋橋,Tenyabasi
上河内,Kanikawachi
鉱泉前,Kousenmae
