横越,Yokogoshi
JR鯖江駅,JR sabaeeki
本町１丁目,Honmachi icchoume
本町２丁目,Honmachi ni choume
市民ホールつつじ前,Shiminholetutujimae
西鯖江駅前,Nishisabaeekimae
嚮陽会館,Kyouhikaikanmae
柳町３丁目,Yanagimatisanchoume
柳町１丁目,Yanagimachi icchoume
高年大学,Kounendaigaku
磯部口,Isobeguchi
戸口,Tokuchi
別司口,Besshikuchi
別司,Besshi
河和田口,Kawawadaguchi
河和田,Kawawada
莇生田口,Azoudaguchi
河和田コミュニティセンター,kawawada community center
うるしの里会館,Urushinosatokaikan
西袋,Nishibukuro
椿坂,Tsubakizaka
河和田小学校前,Kawawadasyougakkoumae
金谷口,Kaneyaguchi
金谷,Kaneya
北中,Kitachuu
寺中,Jichuu
尾花,Obana
ラポーゼかわだ,Rapozekawada
天屋橋,Tenyabasi
上河内,Kanikawachi
鉱泉前,Kousenmae
体育館北,Taiikukankita
横越西,Yokogoenishi
斉藤病院北,Saitoubyouinkita
出口,Deguchi
中河駐在所前,Nakagawachuuzaisyomae
花出,Hanade
原,Hara
川島西,Kawashimanishi
川島,Kawashima
川島東,Kawashimahigashi
北中公民館前,Kitanakakouminkanmae
川島バイパス,Kawashimabaipasu
落居バイパス,Ochiibaipasu
ハニー東陽店前,Haniitouyoutenmae
戸口バイパス,Toguchibaipasu
別司バイパス,Besshibaipasu
河和田西バイパス,Kawawadanishibaipasu
うるしの里会館前,Urushinosatokaikanmae
